Order Date,Ship Date,Ship Mode,Customer Name,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Product Name,Sales,Week_Number,Year,Month,Month_Name,Day_of_Week,Quarter,Season,Shipping Days
2017-11-08,2017-11-11,Second Class,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,45,2017,11,November,Wednesday,4,Autumn,3
2017-11-08,2017-11-11,Second Class,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,45,2017,11,November,Wednesday,4,Autumn,3
2017-06-12,2017-06-16,Second Class,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,24,2017,6,June,Monday,2,Summer,4
2016-10-11,2016-10-18,Standard Class,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,41,2016,10,October,Tuesday,4,Autumn,7
2016-10-11,2016-10-18,Standard Class,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,41,2016,10,October,Tuesday,4,Autumn,7
2015-06-09,2015-06-14,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,24,2015,6,June,Tuesday,2,Summer,5
2015-06-09,2015-06-14,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art,Newell 322,7.28,24,2015,6,June,Tuesday,2,Summer,5
2015-06-09,2015-06-14,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,24,2015,6,June,Tuesday,2,Summer,5
2015-06-09,2015-06-14,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,24,2015,6,June,Tuesday,2,Summer,5
2015-06-09,2015-06-14,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,24,2015,6,June,Tuesday,2,Summer,5
2015-06-09,2015-06-14,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,24,2015,6,June,Tuesday,2,Summer,5
2015-06-09,2015-06-14,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,24,2015,6,June,Tuesday,2,Summer,5
2018-04-15,2018-04-20,Standard Class,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,Office Supplies,Paper,Xerox 1967,15.552,15,2018,4,April,Sunday,2,Spring,5
2017-12-05,2017-12-10,Standard Class,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,49,2017,12,December,Tuesday,4,Winter,5
2016-11-22,2016-11-26,Standard Class,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,47,2016,11,November,Tuesday,4,Autumn,4
2016-11-22,2016-11-26,Standard Class,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,47,2016,11,November,Tuesday,4,Autumn,4
2015-11-11,2015-11-18,Standard Class,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,46,2015,11,November,Wednesday,4,Autumn,7
2015-05-13,2015-05-15,Second Class,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,20,2015,5,May,Wednesday,2,Spring,2
2015-08-27,2015-09-01,Second Class,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,Newell 341,8.56,35,2015,8,August,Thursday,3,Summer,5
2015-08-27,2015-09-01,Second Class,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,Cisco SPA 501G IP Phone,213.48,35,2015,8,August,Thursday,3,Summer,5
2015-08-27,2015-09-01,Second Class,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,35,2015,8,August,Thursday,3,Summer,5
2017-12-09,2017-12-13,Standard Class,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,Newell 318,19.46,49,2017,12,December,Saturday,4,Winter,4
